Price ($),Adexp ('000$),Promexp ('000$),Unit Sales
8.75,50.04,61.13,73959
8.99,50.74,60.19,71544
7.50,50.14,59.16,78587
7.25,50.27,60.38,80364
7.40,51.25,59.71,78771
8.50,50.65,59.88,71986
8.40,50.87,60.14,74885
7.90,50.15,60.08,73345
7.25,48.24,59.90,76659
8.70,50.19,59.68,71880
8.40,51.11,59.83,73598
8.10,51.49,59.77,74893
8.40,50.10,59.29,69003
7.40,49.24,60.40,78542
8.00,50.04,59.89,72543
8.30,49.46,60.06,74247
8.10,51.62,60.51,76253
8.20,49.78,58.93,72582
8.99,48.60,60.09,69022
7.99,49.00,61.00,76200
8.50,48.00,59.00,69701
7.90,54.00,59.50,77005
7.99,48.70,58.00,70987
8.25,50.00,60.50,75643
